STATION_ID;NAME;WMO_ID;BEGIN_DATE;END_DATE;LATITUDE;LONGITUDE;GAUSS1;GAUSS2;GEOGR1;GEOGR2;ELEVATION;ELEVATION_PRESSURE
RIVE99PA;Ventspils;26314;1873.01.01 00:00:00;3999.12.31 23:59:00;572344;0213214;352000.31;364103.86;21.5372;57.3956;2.33;3.9
RIJE99PA;Jelgava;26425;1867.01.01 00:00:00;3999.12.31 23:59:00;563325;0235751;483916.02;281518.45;23.964167;56.556944;7.34;9
RIDAGDA;Dagda;26551;2019.04.10 00:00:00;3999.12.31 23:59:00;560626;0273336; ; ;27.56;56.107222;187.13;188.64
RIZI99PA;Zīlāni;26436;1943.08.01 00:00:00;3999.12.31 23:59:00;563112;0255505;618020.19;265604.76;25.918185;56.519958;106.71;108.48
RIME99MS;Mērsrags;26324;1895.10.01 00:00:00;3999.12.31 23:59:00;572000;0230647;446606.17;354836.21;23.1131;57.3333;4.97;6.71
RIAI99PA;Ainaži;26229;1906.01.01 00:00:00;3999.12.31 23:59:00;575204;0242157;521719.33;414084.24;24.365833;57.867778;6.32;8.06
RIGASLU;Rīga Universitāte;26422;2006.01.01 00:00:00;3999.12.31 23:59:00;565717;0240617;507062.17;311892.96;24.104686;56.954797;2.75;4.43
RIREZEKN;Rēzekne;26446;2019.04.11 14:41:00;3999.12.31 23:59:00;562848;0272126; ; ;27.357222;56.48;169.06;170.72
RIKO99PA;Kolka;26313;1884.01.01 00:00:00;3999.12.31 23:59:00;574449;0223516;416072.41;401405.73;22.587788;57.747003;3.58;5.31
RIBA99PA;Bauska;26429;1945.11.10 00:00:00;3999.12.31 23:59:00;562245;0241318;511296.63;252373.61;24.221667;56.379167;30.94;32.48
RIDO99MS;Dobele;26424;1949.07.01 00:00:00;3999.12.31 23:59:00;563712;0231911;458253.31;275294.35;23.3197;56.62;41.32;43
RIST99PA;Stende;26318;1923.08.01 00:00:00;3999.12.31 23:59:00;571100;0223303;412401.31;338721.43;22.5508;57.1833;79.97;81.71
RIDM99MS;Daugavpils;26544;1891.10.01 00:00:00;3999.12.31 23:59:00;555212;0263703;666107.97;201950.4;26.6175;55.87;97.52;99.2
RISA99PA;Saldus;26416;1945.06.02 00:00:00;3999.12.31 23:59:00;564237;0222536;408310.8;282243.32;22.426667;56.710278;121.61;123.17
RIZO99MS;Zosēni;26339;1945.04.24 00:00:00;3999.12.31 23:59:00;570806;0255420;615332.93;334024.86;25.9056;57.135;187.72;189.37
RIRU99PA;Rūjiena;26238;1988.10.11 00:00:00;3999.12.31 23:59:00;575311;0252218;581332.67;416920.91;25.371796;57.886486;67.71;69.23
RIPR99PA;Priekuļi;26335;1912.06.01 00:00:00;3999.12.31 23:59:00;571856;0252017;580624.02;353332.93;25.338056;57.315556;122.07;123.82
RIAL99MS;Alūksne;26346;1945.04.17 00:00:00;3999.12.31 23:59:00;572622;0270207;682173.59;370368.08;27.035378;57.439578;197.76;199.47
RIGU99MS;Gulbene;26348;1923.10.01 00:00:00;3999.12.31 23:59:00;570756;0264308;664555.93;335382.35;26.7189;57.1322;141.32;142.8
RILP99PA;Liepāja;26406;1961.07.05 00:00:00;3999.12.31 23:59:00;562832;0210114;316501.97;262993.41;21.020641;56.475447;3.26;4.84
RIMADONA;Madona;26447;2005.06.09 00:00:00;3999.12.31 23:59:00;565054;0261415;636462.02;302730.87;26.2375;56.8483;131.39;132.64
RIPA99PA;Pāvilosta;26403;1929.05.28 00:00:00;3999.12.31 23:59:00;565318;0211123;328778.48;308470.83;21.189593;56.88834;8.2;9.45
RUCAVA;Rucava;26503;1923.06.01 00:00:00;3999.12.31 23:59:00;560943;0211024;324469.63;227696.53;21.173219;56.162022;18.86;20.49
RISE99MS;Skulte;26326;1933.01.06 00:00:00;3999.12.31 23:59:00;571802;0242444;524837.94;350923.3;24.4122;57.3006;7.68;9.5
RISI99PA;Skrīveri;26435;1940.12.01 00:00:00;3999.12.31 23:59:00;563833;0250742;569195.95;278160.94;25.128349;56.642474;79.64;81.3
